社員番号,社員名,社員名カナ,生年月日,性別,所属部署,役職,入社年月日,電話番号,メールアドレス,作成日時,更新日時
100031,仲野　善之,ナカノ　ヨシユキ,1969-03-21,男性,システム開発4部,次長,1991-04-01,0289302928,2024-01-08 13:07:01,2024-01-08 13:07:01
100032,古河　綾花,フルカワ　アヤカ,1969-02-18,女性,システム開発2部,一般,1991-04-01,0744264783,2024-01-08 13:07:01,2024-01-08 13:07:01
100033,香川　邦子,カガワ　クニコ,1970-04-09,女性,システム開発2部,次長,1992-04-01,0184680561,2024-01-08 13:07:01,2024-01-08 13:07:01
100034,内野　晶,ウチノ　アキラ,1971-10-12,男性,システム開発2部,課長,1993-04-01,0766223424,2024-01-08 13:07:01,2024-01-08 13:07:01
100035,高倉　菜緒,タカクラ　ナオ,1971-12-14,女性,営業部,一般,1993-04-01,085202114,2024-01-08 13:07:01,2024-01-08 13:07:01
100036,玉置　蒼,タマキ　アオイ,1971-01-25,女性,システム開発3部,一般,1993-04-01,0542909670,2024-01-08 13:07:01,2024-01-08 13:07:01
100037,梅原　定吉,ウメハラ　サダキチ,1973-09-30,男性,システム開発3部,一般,1995-04-01,0858164241,2024-01-08 13:07:01,2024-01-08 13:07:01
100038,沢村　明莉,サワムラ　アカリ,1973-07-31,女性,人事部,一般,1995-04-01,0884823942,2024-01-08 13:07:01,2024-01-08 13:07:01
100039,筒井　喜太郎,ツツイ　キタロウ,1973-09-14,男性,総務部,部長,1995-04-01,0189286268,2024-01-08 13:07:01,2024-01-08 13:07:01
100040,長崎　祐一,ナガサキ　ユウイチ,1973-05-20,男性,システム開発3部,一般,1995-04-01,059826171,2024-01-08 13:07:01,2024-01-08 13:07:01
100041,伴　亜由美,バン　アユミ,1973-02-24,女性,システム開発5部,一般,1995-04-01,0996391997,2024-01-08 13:07:01,2024-01-08 13:07:01
100042,渡辺　利治,ワタナベ　トシハル,1973-08-10,男性,システム開発4部,課長,1995-04-01,027731068,2024-01-08 13:07:01,2024-01-08 13:07:01
100043,伊東　莉歩,イトウ　リホ,1974-01-06,女性,システム開発2部,一般,1996-04-01,0972075996,2024-01-08 13:07:01,2024-01-08 13:07:01
100044,白井　優起,シライ　ユウキ,1974-03-25,男性,システム開発4部,一般,1996-04-01,0950206116,2024-01-08 13:07:01,2024-01-08 13:07:01
100045,白鳥　喜代,シラトリ　キヨ,1975-09-19,女性,システム開発3部,一般,1997-04-01,0276883757,2024-01-08 13:07:01,2024-01-08 13:07:01
100046,橋爪　貞二,ハシヅメ　テイジ,1975-01-27,男性,システム開発4部,一般,1997-04-01,0772335685,2024-01-08 13:07:01,2024-01-08 13:07:01
100047,岩田　明,イワタ　アキラ,1976-10-14,男性,システム開発2部,一般,1998-04-01,0282520662,2024-01-08 13:07:01,2024-01-08 13:07:01
100048,河本　虎雄,カワモト　トラオ,1976-04-26,男性,システム開発5部,一般,1998-04-01,0554314780,2024-01-08 13:07:01,2024-01-08 13:07:01
100049,田上　浩司,タウエ　コウジ,1976-02-23,男性,システム開発1部,一般,1998-04-01,0355352398,2024-01-08 13:07:01,2024-01-08 13:07:01
100050,高松　英彦,タカマツ　ヒデヒコ,1976-05-06,男性,システム開発1部,一般,1998-04-01,0767434689,2024-01-08 13:07:01,2024-01-08 13:07:01
100051,滝田　文平,タキタ　ブンペイ,1977-08-03,男性,システム開発3部,一般,1999-04-01,0530154001,2024-01-08 13:07:01,2024-01-08 13:07:01
100052,今　望美,コン　ノゾミ,1979-12-16,女性,システム開発4部,一般,2001-04-01,0964348639,2024-01-08 13:07:01,2024-01-08 13:07:01
100053,澤田　咲季,サワダ　サキ,1980-11-10,女性,システム開発2部,一般,2002-04-01,0795366136,2024-01-08 13:07:01,2024-01-08 13:07:01
100054,諸星　栄三郎,モロボシ　エイザブロウ,1980-04-30,男性,システム開発3部,一般,2002-04-01,0196842587,2024-01-08 13:07:01,2024-01-08 13:07:01
100055,岸本　忠,キシモト　タダシ,1981-05-04,男性,システム開発4部,一般,2003-04-01,0942341048,2024-01-08 13:07:01,2024-01-08 13:07:01
100056,高瀬　朗,タカセ　アキラ,1981-08-06,男性,システム開発1部,一般,2003-04-01,082793170,2024-01-08 13:07:01,2024-01-08 13:07:01
100057,本多　眞,ホンダ　マコト,1981-07-18,男性,システム開発5部,一般,2003-04-01,0532072685,2024-01-08 13:07:01,2024-01-08 13:07:01
100058,朝倉　真琴,アサクラ　マコト,1982-05-08,女性,システム開発3部,一般,2004-04-01,0849034487,2024-01-08 13:07:01,2024-01-08 13:07:01
100059,神保　和島,ジンボ　ワジマ,1982-06-13,男性,システム開発4部,一般,2004-04-01,0982551408,2024-01-08 13:07:01,2024-01-08 13:07:01
100060,須賀　秀,スガ　ヒデ,1982-02-09,男性,システム開発4部,一般,2004-04-01,0956902923,2024-01-08 13:07:01,2024-01-08 13:07:01
100061,豊田　碧依,トヨダ　アオイ,1982-10-08,女性,システム開発4部,一般,2004-04-01,0749603169,2024-01-08 13:07:01,2024-01-08 13:07:01
100062,久野　靖,ヒサノ　ヤスシ,1982-09-19,男性,システム開発1部,一般,2004-04-01,0954792920,2024-01-08 13:07:01,2024-01-08 13:07:01
100063,上原　修一,ウエハラ　シュウイチ,1983-02-24,男性,システム開発3部,一般,2005-04-01,0846295140,2024-01-08 13:07:01,2024-01-08 13:07:01
100064,角田　夏子,カクタ　ナツコ,1983-03-07,女性,システム開発4部,一般,2005-04-01,087589402,2024-01-08 13:07:01,2024-01-08 13:07:01
100065,千田　麗香,センダ　レイカ,1983-03-29,女性,システム開発5部,一般,2005-04-01,0991147424,2024-01-08 13:07:01,2024-01-08 13:07:01
100066,立川　政夫,タチカワ　マサオ,1983-04-05,男性,システム開発4部,一般,2005-04-01,0186337855,2024-01-08 13:07:01,2024-01-08 13:07:01
100067,柏原　靖夫,カシワバラ　ヤスオ,1985-07-24,男性,システム開発5部,一般,2007-04-01,0773071323,2024-01-08 13:07:01,2024-01-08 13:07:01
100068,五味　緑,ゴミ　ミドリ,1985-08-13,女性,システム開発2部,一般,2007-04-01,059536142,2024-01-08 13:07:01,2024-01-08 13:07:01
100069,土肥　勇雄,ドイ　イサオ,1985-10-21,男性,システム開発1部,一般,2007-04-01,0986254557,2024-01-08 13:07:01,2024-01-08 13:07:01
100070,島　朋香,シマ　トモカ,1986-01-12,女性,システム開発2部,一般,2008-04-01,0539784904,2024-01-08 13:07:01,2024-01-08 13:07:01
100071,下田　詩,シモダ　ウタ,1986-08-10,女性,システム開発3部,一般,2008-04-01,0227862462,2024-01-08 13:07:01,2024-01-08 13:07:01
100072,冨永　利佳,トミナガ　リカ,1986-09-09,女性,システム開発4部,一般,2008-04-01,097735016,2024-01-08 13:07:01,2024-01-08 13:07:01
100073,古屋　秋友,フルヤ　アキトモ,1986-03-09,男性,システム開発2部,一般,2008-04-01,0937409985,2024-01-08 13:07:01,2024-01-08 13:07:01
100074,松木　優,マツキ　マサル,1986-06-13,男性,システム開発1部,一般,2008-04-01,0774667596,2024-01-08 13:07:01,2024-01-08 13:07:01
100075,上山　稟,カミヤマ　リン,1987-04-09,女性,システム開発3部,一般,2009-04-01,0238762170,2024-01-08 13:07:01,2024-01-08 13:07:01
100076,畠山　琴子,ハタケヤマ　コトコ,1987-07-25,女性,システム開発1部,一般,2009-04-01,0837628045,2024-01-08 13:07:01,2024-01-08 13:07:01
100077,矢吹　憲治,ヤブキ　ケンジ,1987-12-05,男性,システム開発5部,一般,2009-04-01,0985428127,2024-01-08 13:07:01,2024-01-08 13:07:01
100078,笹本　里歌,ササモト　リカ,1988-09-01,女性,システム開発1部,一般,2010-04-01,0740698366,2024-01-08 13:07:01,2024-01-08 13:07:01
100079,河田　望美,カワダ　ノゾミ,1989-07-29,女性,システム開発2部,一般,2011-04-01,0991919560,2024-01-08 13:07:01,2024-01-08 13:07:01
100080,坂井　櫻,サカイ　サクラ,1990-05-18,女性,システム開発4部,一般,2012-04-01,0590433607,2024-01-08 13:07:01,2024-01-08 13:07:01
100081,谷口　由紀,タニグチ　ユキ,1990-02-20,女性,システム開発2部,一般,2012-04-01,0955790678,2024-01-08 13:07:01,2024-01-08 13:07:01
100082,上村　勝美,ウエムラ　カツミ,1991-03-28,男性,総務部,一般,2013-04-01,0223928456,2024-01-08 13:07:01,2024-01-08 13:07:01
100083,中岡　梨沙,ナカオカ　リサ,1991-04-27,女性,システム開発3部,一般,2013-04-01,0744990912,2024-01-08 13:07:01,2024-01-08 13:07:01
100084,村瀬　美代子,ムラセ　ミヨコ,1991-08-23,女性,システム開発1部,一般,2013-04-01,0572440470,2024-01-08 13:07:01,2024-01-08 13:07:01
100085,室井　実結,ムロイ　ミユ,1991-04-28,女性,システム開発5部,一般,2013-04-01,0569165736,2024-01-08 13:07:01,2024-01-08 13:07:01
100086,石本　悦代,イシモト　エツヨ,1992-01-30,女性,システム開発5部,一般,2014-04-01,0940961063,2024-01-08 13:07:01,2024-01-08 13:07:01
100087,大浦　知美,オオウラ　トモミ,1993-12-14,女性,システム開発2部,一般,2015-04-01,0322358389,2024-01-08 13:07:01,2024-01-08 13:07:01
100088,成田　尚子,ナリタ　ナオコ,1993-03-28,女性,システム開発2部,一般,2015-04-01,0595307662,2024-01-08 13:07:01,2024-01-08 13:07:01
100089,福田　麻理子,フクダ　マリコ,1993-05-21,女性,システム開発1部,一般,2015-04-01,0890263670,2024-01-08 13:07:01,2024-01-08 13:07:01
100090,木田　靖彦,キダ　ヤスヒコ,1994-11-13,男性,営業部,一般,2016-04-01,0735443679,2024-01-08 13:07:01,2024-01-08 13:07:01
100091,坂元　咲幸,サカモト　サユキ,1994-08-17,女性,システム開発2部,一般,2016-04-01,0736068486,2024-01-08 13:07:01,2024-01-08 13:07:01
100092,中嶋　天斗,ナカジマ　タカト,1994-04-07,男性,システム開発2部,一般,2016-04-01,0265168618,2024-01-08 13:07:01,2024-01-08 13:07:01
100093,海野　晴彦,ウミノ　ハルヒコ,1995-11-05,男性,システム開発4部,一般,2017-04-01,0577253088,2024-01-08 13:07:01,2024-01-08 13:07:01
100094,金沢　心咲,カナザワ　ミサキ,1995-11-25,女性,システム開発1部,一般,2017-04-01,0737203666,2024-01-08 13:07:01,2024-01-08 13:07:01
100095,関本　清隆,セキモト　キヨタカ,1995-07-23,男性,システム開発5部,一般,2017-04-01,0262163396,2024-01-08 13:07:01,2024-01-08 13:07:01
100096,松山　寛貴,マツヤマ　ヒロキ,1995-08-02,男性,システム開発5部,一般,2017-04-01,0955105430,2024-01-08 13:07:01,2024-01-08 13:07:01
100097,辻本　実緒,ツジモト　ミオ,1996-09-04,女性,人事部,一般,2018-04-01,0859575706,2024-01-08 13:07:01,2024-01-08 13:07:01
100098,園田　風奈穂,ソノダ　カナホ,1997-06-10,女性,総務部,一般,2019-04-01,0288088994,2024-01-08 13:07:01,2024-01-08 13:07:01
100099,江田　冬香,エダ　トウカ,1998-08-13,女性,システム開発1部,一般,2020-04-01,0189066087,2024-01-08 13:07:01,2024-01-08 13:07:01
100100,町田　俊範,マチダ　トシノリ,1998-08-31,男性,システム開発4部,一般,2020-04-01,0246212838,2024-01-08 13:07:01,2024-01-08 13:07:01
